Category: All categories

Week,scion tc mpg: (United States)
2016-09-11,28
2016-09-18,22
2016-09-25,72
2016-10-02,38
2016-10-09,23
2016-10-16,72
2016-10-23,33
2016-10-30,60
2016-11-06,47
2016-11-13,54
2016-11-20,34
2016-11-27,15
2016-12-04,30
2016-12-11,62
2016-12-18,34
2016-12-25,40
2017-01-01,27
2017-01-08,41
2017-01-15,31
2017-01-22,55
2017-01-29,50
2017-02-05,35
2017-02-12,40
2017-02-19,50
2017-02-26,29
2017-03-05,68
2017-03-12,29
2017-03-19,40
2017-03-26,55
2017-04-02,40
2017-04-09,42
2017-04-16,61
2017-04-23,40
2017-04-30,45
2017-05-07,56
2017-05-14,55
2017-05-21,44
2017-05-28,100
2017-06-04,70
2017-06-11,65
2017-06-18,74
2017-06-25,40
2017-07-02,64
2017-07-09,56
2017-07-16,28
2017-07-23,27
2017-07-30,32
2017-08-06,69
2017-08-13,27
2017-08-20,36
2017-08-27,47
2017-09-03,71
